lang,mode,n,block,threads,rep,time_s,gflops,speedup,efficiency,cycles,instructions,ipc,cache_references,cache_misses,branches,branch_misses
cpp,6,1024,0,4,2,0.337,6.372355,1.287834,0.321958,7929350714,24202641865,3.052285,335782085,75124810,3030368976,3083202
cpp,6,1536,0,4,1,0.838,8.648875,2.371122,0.59278,20031776901,57118362087,2.851388,927402185,283140985,7149732123,4791481
cpp,6,1536,0,4,2,1.207,6.00477,1.553438,0.38836,25148719021,66027047629,2.625464,1000254103,576067630,8269218950,5575554
cpp,6,2048,0,4,1,2.069,8.303465,2.260029,0.565007,50436668578,136476917013,2.705907,2376360658,1128400400,17078807752,8614312
cpp,6,2048,0,4,2,2.897,5.930228,1.548153,0.387038,60460323692,152466741735,2.521765,2568109522,1655117538,19082622783,9775755
cpp,6,2560,0,4,1,4.039,8.307609,2.225056,0.556264,97491360212,264015279726,2.708089,5080340959,2123479367,33032315847,13308597
cpp,6,2560,0,4,2,5.34,6.283601,1.784082,0.446021,108694643127,274781361605,2.528012,5023588474,3287030790,34382632729,14142868
cpp,6,3072,0,4,1,7.355,7.883353,2.102651,0.525663,176721104970,451892918941,2.557096,8698675172,6009625698,56531949355,19032567
cpp,6,3072,0,4,2,8.486,6.832672,2.243695,0.560924,174344529136,470903120020,2.700992,8425193580,5589597092,58913087428,20211632
cpp,7,1024,0,4,1,6.459,0.332479,0.066264,0.016566,49765558422,72815122295,1.463163,821492246,55976179,12223327597,82308512
cpp,7,1024,0,4,2,8.687,0.247207,0.04996,0.01249,56033207647,75609467293,1.349369,976176668,275623530,12718726602,91192532
cpp,7,1536,0,4,1,15.195,0.476983,0.130767,0.032692,124758314024,176257888209,1.412795,2328596470,655341875,29152771130,178633208
cpp,7,1536,0,4,2,19.657,0.368711,0.095386,0.023846,134551502325,189435269519,1.407902,2624494787,1004145792,31447259547,204269358
cpp,7,2048,0,4,1,27.493,0.624882,0.17008,0.04252,233369829461,343262068725,1.470893,5158783972,2216487104,56077158134,322277778
cpp,7,2048,0,4,2,34.468,0.49843,0.130121,0.03253,245491076537,363258412233,1.479721,5398920581,2406067206,59573096062,353109981
cpp,7,2560,0,4,1,44.03,0.762081,0.204111,0.051028,389681852875,580984290514,1.49092,9412991500,4640932050,93937888924,498698379
cpp,7,2560,0,4,2,56.729,0.591486,0.167939,0.041985,419479075285,625118141911,1.490225,9882071546,4744253842,101588017356,567135728
cpp,7,3072,0,4,1,64.385,0.900552,0.240196,0.060049,586965610585,900202844327,1.533655,15479869415,8007543575,144268667774,712253085
cpp,7,3072,0,4,2,82.354,0.704059,0.231197,0.057799,627931318726,971667199814,1.54741,16037298063,8215175639,156528692637,815128520
