lang,mode,n,block,threads,rep,time_s,gflops,speedup,efficiency,cycles,instructions,ipc,cache_references,cache_misses,branches,branch_misses
cpp,2,8192,0,0,1,287.741,3.821185,NA,NA,2359081224248,6388942702214,2.708233,123056783678,112020297758,802985887477,139473994
cpp,6,8192,0,4,1,140.179,7.843626,2.052668,0.513167,3139105319533,8579474827342,2.733096,174170243045,124608754679,1072934932260,140076147
cpp,6,8192,0,8,1,115.829,9.492542,2.484188,0.310523,3729168084677,10332846165845,2.770818,163826665010,89746322959,1292404596586,171254801
cpp,6,8192,0,12,1,114.472,9.60507,2.513637,0.20947,4862730351955,10135514861889,2.084326,137593913953,80786779194,1267825017462,176916272
cpp,6,8192,0,16,1,100.786,10.909369,2.85497,0.178436,4731909404984,9494749296557,2.006537,149874720811,131126402726,1187790853843,175768832
cpp,6,8192,0,20,1,100.375,10.954039,2.86666,0.143333,4699019861466,9506220833375,2.023022,150985600340,135603393726,1189259694467,176959906
cpp,6,8192,0,24,1,102.29,10.748965,2.812992,0.117208,4789497549555,9440734232870,1.971132,150003553486,132447707613,1181125687772,181443094
cpp,8,8192,0,4,1,104,10.572227,2.76674,0.691685,2330158506161,5496101348057,2.358681,162456526971,73546271570,550565787624,141110822
cpp,8,8192,0,8,1,102.413,10.736055,2.809614,0.351202,3260789088707,6718000280439,2.060238,159521995985,118750945857,673204038276,175201473
cpp,8,8192,0,12,1,92.223,11.922315,3.120057,0.260005,3853227401120,6529699707718,1.694605,153088296147,115707752060,654483351356,175775113
cpp,8,8192,0,16,1,90.265,12.18093,3.187736,0.199234,4639513662288,6030405243076,1.299793,151011377314,141636919437,604756823167,172594669
cpp,8,8192,0,20,1,90.285,12.178231,3.18703,0.159351,4653711627742,6021432011492,1.293899,151615285476,143901208252,603878278153,172408556
cpp,8,8192,0,24,1,90.126,12.199716,3.192653,0.133027,4680700796100,5991486432293,1.28004,151417433484,144304353657,600946224856,176296173
cpp,9,8192,0,4,1,916.553,1.199616,0.313938,0.078485,23956488726509,20843472494055,0.870055,189395431322,79867547129,2197341750955,191054266
cpp,9,8192,0,8,1,588.84,1.86725,0.488657,0.061082,26047736654018,22534550223744,0.865125,191147368875,76836156767,2376189360143,218581182
cpp,9,8192,0,12,1,541.764,2.029503,0.531119,0.04426,30798743087783,20179249047700,0.655197,196518001915,86929589365,2128983472451,250389056
cpp,9,8192,0,16,1,519.89,2.114893,0.553465,0.034592,31320005267201,19926300011186,0.636216,200278336051,90299297222,2102988171719,278599454
cpp,9,8192,0,20,1,511.995,2.147505,0.562,0.0281,31397171821971,19873750820038,0.632979,201724135827,91300754164,2097705744353,293059570
cpp,9,8192,0,24,1,510.922,2.152015,0.56318,0.023466,31461611357486,19869928808502,0.631561,203145894344,92034780664,2097595907913,313035252
